Date,Temperature in degree celcius,Humidity in percent,Lux,Soil moisture
Sat May 30 10:30:02 2020 , 18.0 , 46.6 , 59 , 389
Sat May 30 11:00:02 2020 , 18.2 , 43.9 , 48 , 390
Sat May 30 11:30:01 2020 , 18.6 , 42.6 , 71 , 390
Sat May 30 12:00:02 2020 , 19.1 , 40.5 , 66 , 390
Sat May 30 12:30:02 2020 , 18.8 , 43.7 , 93 , 390
Sat May 30 13:00:02 2020 , 18.8 , 45.1 , 117 , 392
Sat May 30 13:30:02 2020 , 19.7 , 37.4 , 114 , 390
Sat May 30 16:00:02 2020 , 23.4 , 32.3 , 0 , 393
Sat May 30 16:30:02 2020 , 21.8 , 33.6 , 98 , 391
Sat May 30 17:00:02 2020 , 21.0 , 34.7 , 42 , 390
Sat May 30 17:30:02 2020 , 20.4 , 36.0 , 22 , 389
Sat May 30 18:00:02 2020 , 19.7 , 37.4 , 18 , 390
Sat May 30 18:30:02 2020 , 19.8 , 37.9 , 18 , 389
Sat May 30 19:00:02 2020 , 19.0 , 39.1 , 5 , 389
Sat May 30 19:30:02 2020 , 18.2 , 40.7 , 9 , 388
Sat May 30 20:51:34 2020 , 16.5 , 41.4 , 0 , 404
Sat May 30 21:00:02 2020 , 16.6 , 41.4 , 0 , 408
Sat May 30 21:30:02 2020 , 16.6 , 42.9 , 0 , 407
Sat May 30 22:00:02 2020 , 16.3 , 46.0 , 0 , 406
Sat May 30 22:30:02 2020 , 16.1 , 46.2 , 0 , 400
Sat May 30 23:00:02 2020 , 15.9 , 47.0 , 0 , 403
Sat May 30 23:30:02 2020 , 15.3 , 47.1 , 0 , 398
Sun May 31 00:00:02 2020 , 15.0 , 47.3 , 0 , 403
Sun May 31 00:30:02 2020 , 14.5 , 48.3 , 0 , 400
Sun May 31 01:00:02 2020 , 14.1 , 50.1 , 0 , 398
Sun May 31 01:30:02 2020 , 13.6 , 50.8 , 0 , 397
Sun May 31 02:00:02 2020 , 13.8 , 52.3 , 0 , 401
Sun May 31 02:30:02 2020 , 13.4 , 53.4 , 0 , 402
Sun May 31 03:00:02 2020 , 12.8 , 55.9 , 0 , 399
Sun May 31 03:30:02 2020 , 12.6 , 56.3 , 0 , 401
Sun May 31 04:00:02 2020 , 12.7 , 56.5 , 0 , 402
Sun May 31 04:30:02 2020 , 12.6 , 58.6 , 3 , 400
Sun May 31 05:00:02 2020 , 12.1 , 60.6 , 10 , 401
Sun May 31 05:30:02 2020 , 11.7 , 62.0 , 18 , 400
Sun May 31 06:00:02 2020 , 11.3 , 65.1 , 30 , 401
Sun May 31 06:30:02 2020 , 11.5 , 63.7 , 42 , 400
Sun May 31 07:00:02 2020 , 11.8 , 65.4 , 49 , 404
Sun May 31 07:30:02 2020 , 12.3 , 66.1 , 55 , 404
Sun May 31 08:00:02 2020 , 12.7 , 62.9 , 54 , 407
Sun May 31 08:30:02 2020 , 13.7 , 60.6 , 83 , 408
